chapter	section	greek	english	src_idx	tgt_idx	score
1	14	τεχνῶν	arts	7	7	0.6522
1	14	ἐν	in	8	4	0.4368
1	14	ποιοῦνται	of	10	12	0.4256
1	14	τὴν	their	11	13	0.5727
1	14	μίμησιν	imitation	12	14	0.7547
1	1	Περὶ	of	0	10	0.6166
1	1	ποιητικῆς	Poetry	1	3	0.6051
1	1	αὐτῆς	art	2	12	0.5722
1	1	τε	also	3	16	0.5807
1	1	καὶ	and	4	20	0.4992
1	1	τῶν	its	5	18	0.5221
1	1	εἰδῶν	species	6	19	0.5004
1	1	αὐτῆς	their	7	21	0.4681
1	1	ἦν	being	8	2	0.4762
1	1	δύναμιν	capacities	10	23	0.5029
1	1	ἕκαστον	general	11	14	0.4377
1	1	πῶς	structure	14	26	0.4687
1	1	δεῖ	required	15	29	0.6722
1	1	συνίστασθαι	of	16	24	0.5816
1	1	τοὺς	the	17	40	0.5133
1	1	μύθους	plot	18	28	0.5714
1	1	εἰ	for	19	30	0.5033
1	1	καλῶς	good	21	32	0.6506
1	1	ἔξειν	poem	22	33	0.4735
1	1	ἡ	a	23	44	0.5445
1	1	ποίησις	poem	24	45	0.6322
1	1	ἐκ	of	27	34	0.4768
1	1	πόσων	number	28	36	0.5173
1	1	καὶ	and	29	37	0.5698
1	1	ποίων	nature	30	38	0.4809
1	1	ἐστὶ	of	31	39	0.4232
1	1	μορίων	parts	32	42	0.6352
1	1	ὁμοίως	likewise	33	47	0.745
1	1	δὲ	and	34	46	0.6931
1	1	περὶ	of	36	48	0.7195
1	1	τῶν	any	37	49	0.6619
1	1	ἄλλων	other	38	50	0.8257
1	1	ὅσα	matters	39	51	0.6299
1	1	τῆς	the	40	53	0.6057
1	1	αὐτῆς	same	41	54	0.6654
1	1	ἐστι	in	42	52	0.4684
1	1	μεθόδου	line	43	55	0.5881
1	1	λέγωμεν	us	44	59	0.6167
1	1	ἀρξάμενοι	begin	45	65	0.575
1	1	κατὰ	the	46	61	0.5422
1	1	φύσω	order	47	63	0.6313
1	1	πρῶτον	natural	48	62	0.4248
1	1	ἀπὸ	with	49	66	0.6131
1	1	τῶν	the	50	67	0.7201
1	1	πρώτων	primary	51	68	0.6575
1	2	ἐποποιία	poetry	0	1	0.6627
1	2	καὶ	also	2	5	0.6087
1	2	τῆς	Epic	4	0	0.4666
1	2	τραγῳδίας	Dithyrambic	5	7	0.5437
1	2	ποίησις	poetry	6	8	0.613
1	2	ἔτι	and	7	2	0.5536
1	2	δὲ	and	8	9	0.5892
1	2	κωμῳδία	Comedy	9	6	0.5524
1	2	καὶ	as	10	4	0.5354
1	2	διθυραμβοποιητικὴ	flute-playing	12	11	0.7337
1	2	καὶ	and	13	12	0.7296
1	2	αὐλητικῆς	lyre-playing	15	13	0.7151
1	2	πλείστη	most	17	10	0.5245
1	2	κιθαριστικῆς	of	19	21	0.4152
1	2	πᾶσαι	all	20	15	0.7212
1	2	τυγχάνουσιν	are	21	14	0.5632
1	2	οὖσαι	as	22	17	0.4494
1	2	μιμήσεις	imitation	23	22	0.6727
1	2	τὸ	a	24	18	0.6619
1	2	σύνολον	whole	25	19	0.7305
1	3	διαφέρουσι	differ	0	6	0.727
1	3	δὲ	But	1	0	0.8072
1	3	ἀλλήλων	one	2	8	0.7013
1	3	τρισίν	three	3	11	0.7785
1	3	ἢ	either	4	13	0.7492
1	3	γὰρ	by	5	14	0.424
1	3	τῷ	a	6	15	0.5416
1	3	γένει	kind	7	18	0.5366
1	3	ἑτέροις	their	8	20	0.5377
1	3	μιμεῖσθαι	difference	9	16	0.4402
1	3	ἢ	or	10	22	0.7135
1	3	τῷ	the	11	26	0.456
1	3	ἕτερα	differences	12	24	0.4438
1	3	ἢ	or	13	28	0.6207
1	3	ἑτέρως	objects	15	27	0.4522
1	3	τὸν	the	18	30	0.5081
1	3	τρόπον	manner	20	31	0.5044
1	4	ὥσπερ	as	0	1	0.7975
1	4	γὰρ	Just	1	0	0.5979
1	4	χρώμασι	form	3	2	0.6724
1	4	καὶ	and	4	3	0.6635
1	4	σχήμασι	colour	5	4	0.6561
1	4	πολλὰ	many	6	21	0.5649
1	4	μιμοῦνταί	used	7	6	0.5457
1	4	τινες	some	8	10	0.7535
1	4	ἀπεικάζοντες	portray	9	20	0.5624
1	4	οἱ	who	10	11	0.4783
1	4	μὲν	whether	11	12	0.5746
1	4	διὰ	by	12	13	0.6625
1	4	τέχνης	art	13	14	0.6803
1	4	οἱ	things	14	22	0.4445
1	4	δὲ	or	15	15	0.5614
1	4	διὰ	aid	16	25	0.4731
1	4	συνηθείας	constant	17	16	0.5795
1	4	ἕτεροι	others	18	32	0.5766
1	4	δὲ	and	19	26	0.5632
1	4	διὰ	by	20	23	0.5633
1	4	τῆς	the	21	27	0.5242
1	4	φωνῆς	voice	22	28	0.5451
1	4	οὕτω	so	23	33	0.6602
1	4	κὰν	in	24	35	0.5837
1	4	ταῖς	the	25	36	0.6453
1	4	εἰρημέναις	above-mentioned	26	37	0.7097
1	4	τέχναις	arts	27	40	0.7698
1	4	ἅπασαι	whole	28	47	0.6386
1	4	μὲν	as	29	45	0.4033
1	4	ποιοῦνται	used	30	30	0.5597
1	4	τὴν	the	31	41	0.5741
1	4	μίμησιν	means	32	42	0.5475
1	4	ἐν	are	33	48	0.4667
1	4	ῥυθμῷ	rhythm	34	49	0.7425
1	4	λόγῳ	language	36	50	0.5996
1	4	καὶ	and	37	51	0.6787
1	4	ἁρμονίᾳ	harmony	38	52	0.6853
1	4	τούτοις	them	39	44	0.5799
1	4	δ	however	40	54	0.6436
1	4	ἢ	either	41	55	0.774
1	4	χωρὶς	singly	42	56	0.7
1	4	ἢ	or	43	57	0.7166
1	4	μεμιγμένοις	combinations	44	60	0.6291
1	5	οἷον	of	0	2	0.4167
1	5	ἁρμονίᾳ	rhythm	1	3	0.7476
1	5	καὶ	and	3	4	0.7264
1	5	ῥυθμῷ	harmony	4	5	0.6388
1	5	χρώμεναι	is	5	7	0.4767
1	5	μόνον	alone	6	6	0.7348
1	5	ἥ	in	7	10	0.4426
1	5	αὐλητικὴ	flute-playing	9	11	0.7381
1	5	καὶ	and	10	12	0.7423
1	5	κιθαριστικὴ	lyre-playing	12	13	0.7413
1	5	κἂν	and	13	14	0.5125
1	5	εἴ	may	14	19	0.4412
1	5	τινες	any	15	15	0.5328
1	5	ἕτεραι	other	16	16	0.5189
1	5	τυγχάνουσιν	there	17	18	0.468
1	5	οὖσαι	be	18	20	0.635
1	5	τοιαῦται	same	19	23	0.5801
1	5	δύναμιν	description	21	24	0.4212
1	5	οἷον	e.g	22	25	0.6583
1	5	ἡ	imitative	23	26	0.4838
1	5	συρίγγων	piping	25	27	0.6692
1	6	αὐτῷ	alone	0	1	0.4947
1	6	τῷ	the	2	5	0.4078
1	6	ῥυθμῷ	Rhythm	3	0	0.5349
1	6	μιμοῦνται	is	4	4	0.5108
1	6	χωρὶς	without	5	2	0.6264
1	6	ἁρμονίας	harmony	6	3	0.5456
1	6	ἡ	imitations	7	10	0.5139
1	6	τῶν	the	8	8	0.6348
1	6	ὀρχηστῶν	dancer's	9	9	0.6488
1	6	καὶ	even	10	12	0.5789
1	6	γὰρ	for	11	11	0.7437
1	6	οὗτοι	he	12	13	0.7572
1	6	διὰ	by	13	14	0.7397
1	6	τῶν	the	14	15	0.6875
1	6	σχηματιζομένων	of	15	17	0.5764
1	6	ῥυθμῶν	rhythms	16	16	0.6359
1	6	μιμοῦνται	represent	17	21	0.7416
1	6	καὶ	well	18	25	0.6194
1	6	ἤθη	characters	19	23	0.5141
1	6	καὶ	as	20	24	0.4575
1	6	πάθη	do	21	29	0.5547
1	6	καὶ	and	22	30	0.5917
1	6	πράξεις	suffer	23	31	0.6677
1	7	ἡ	an	0	3	0.5555
1	7	δὲ	further	1	2	0.4705
1	7	ἐποποιία	imitation	2	34	0.597
1	7	μόνον	alone	3	9	0.662
1	7	τοῖς	by	4	7	0.5146
1	7	λόγοις	language	5	8	0.6525
1	7	ψιλοῖς	harmony	6	11	0.5125
1	7	ἢ	or	7	14	0.7235
1	7	τοῖς	in	8	15	0.6207
1	7	μέτροις	verse	9	16	0.7098
1	7	καὶ	and	10	17	0.5237
1	7	τούτοις	verse	11	20	0.4103
1	7	εἴτε	either	12	21	0.645
1	7	μιγνῦσα	in	13	22	0.508
1	7	μετ᾿	without	14	10	0.4257
1	7	εἴθ	or	16	25	0.6511
1	7	ἑνί	one	17	24	0.5682
1	7	τινι	some	18	23	0.5223
1	7	γένει	plurality	19	28	0.4693
1	7	χρωμένη	in	20	19	0.4439
1	7	τῶν	of	21	29	0.4895
1	7	μέτρων	metres	22	30	0.6661
1	7	ἀνώνυμος	without	23	39	0.5318
1	7	τυγχάνει	is	24	35	0.6706
1	7	οὖσα	is	25	1	0.402
1	7	μέχρι	to	26	36	0.7103
1	7	τοῦ	this	27	37	0.6779
1	7	νῦν	day	28	38	0.7154
1	8	οὐδὲν	no	0	2	0.6439
1	8	ἂν	We	2	0	0.4064
1	8	ἔχοιμεν	have	3	1	0.6845
1	8	ὀνομάσαι	name	4	4	0.6217
1	8	κοινὸν	common	5	3	0.7304
1	8	τοὺς	a	6	6	0.4538
1	8	Σώφρονος	Sophron	7	9	0.8134
1	8	καὶ	or	8	10	0.623
1	8	Ξενάρχου	Xenarchus	9	11	0.7204
1	8	μίμους	mime	10	7	0.6182
1	8	καὶ	and	11	12	0.666
1	8	τοὺς	a	12	13	0.5858
1	8	Σωκρατικοὺς	Socratic	13	14	0.82
1	8	λόγους	Conversation	14	15	0.5377
1	9	οὐδὲ	and	0	0	0.482
1	9	εἴ	if	1	8	0.7606
1	9	τις	one	2	6	0.5175
1	9	διὰ	in	3	16	0.5107
1	9	τριμέτρων	trimeters	4	17	0.7836
1	9	ἢ	or	5	18	0.8037
1	9	ἐλεγείων	elegiacs	6	19	0.7394
1	9	ἢ	or	7	20	0.7749
1	9	τῶν	kind	8	23	0.4434
1	9	ἄλλων	other	9	22	0.7579
1	9	τινῶν	some	10	21	0.6511
1	9	τοιούτων	of	12	24	0.4862
1	9	ποιοῖτο	should	13	2	0.5112
1	9	τὴν	the	14	9	0.6143
1	9	μίμησιν	imitation	15	10	0.6398
10	1	Εἰσὶ	are	0	1	0.7211
10	1	μύθων	Plots	3	0	0.6767
10	1	μὲν	either	5	2	0.5734
10	1	ἁπλοῖ	simple	6	3	0.6597
10	1	δὲ	or	8	4	0.453
10	1	πεπλεγμένοι	complex	9	5	0.524
10	1	γὰρ	since	11	6	0.5985
10	1	αἱ	the	12	7	0.6943
10	1	πράξεις	actions	13	8	0.7455
10	1	μιμήσεις	represent	15	10	0.47
10	1	εἰσιν	are	18	11	0.5493
10	1	εὐθὺς	naturally	20	12	0.5838
10	2	λέγω	call	0	12	0.5313
10	2	δὲ	The	1	0	0.4462
10	2	ἁπλῆν	simple	2	13	0.4991
10	2	πρᾶξιν	action	4	1	0.63
10	2	γινομένης	proceeding	6	2	0.5666
10	2	ὥσπερ	as	7	7	0.5056
10	2	ὥρισται	defined	8	6	0.467
10	2	συνεχοῦς	continuous	9	9	0.6318
10	2	ἄνευ	without	12	23	0.5753
10	2	περιπετείας	Peripety	13	24	0.5363
10	2	ἢ	or	14	25	0.5607
10	2	ἀναγνωρισμοῦ	Discovery	15	26	0.5367
10	2	ἡ	the	16	15	0.6356
10	2	μετάβασις	change	17	16	0.6538
10	2	γίνεται	takes	18	21	0.6114
10	3	πεπλεγμένη	complex	0	1	0.5429
10	3	δὲ	and	1	0	0.5469
10	3	ἀναγνωρισμοῦ	involves	3	4	0.4092
10	3	ἢ	or	4	6	0.5302
10	3	περιπετείας	other	5	8	0.4696
10	3	ἢ	or	6	9	0.6198
10	3	ἀμφοῖν	both	7	10	0.7481
10	4	ταῦτα	These	0	0	0.774
10	4	δὲ	them	1	4	0.4106
10	4	δεῖ	should	2	1	0.6174
10	4	γίνεσθαι	arise	3	5	0.6418
10	4	ἐξ	out	4	6	0.6213
10	4	αὐτῆς	itself	5	13	0.6459
10	4	τῆς	the	6	8	0.6493
10	4	συστάσεως	structure	7	9	0.6713
10	4	τοῦ	the	8	11	0.6757
10	4	μύθου	Plot	9	12	0.6056
10	4	ὥστε	so	10	14	0.685
10	4	ἐκ	of	11	23	0.4871
10	4	τῶν	the	12	24	0.5888
10	4	προγεγενημένων	antecedents	13	25	0.6305
10	4	συμβαίνειν	be	14	17	0.5722
10	4	ἢ	or	15	21	0.5867
10	4	ἀνάγκης	necessary	17	20	0.4558
10	4	εἰκὸς	probable	21	22	0.4213
10	4	γίγνεσθαι	to	22	16	0.465
10	4	διαφέρει	difference	24	30	0.6746
10	4	γὰρ	is	25	27	0.4379
10	4	πολὺ	great	26	29	0.6778
10	4	τὸ	a	27	32	0.4862
10	4	γίγνεσθαι	happening	28	34	0.7171
10	4	τάδε	thing	29	33	0.5593
10	4	διὰ	propter	30	35	0.7469
10	4	τάδε	hoc	31	36	0.7173
10	4	ἢ	and	32	37	0.6698
10	4	μετὰ	post	33	38	0.7463
10	4	τάδε	hoc	34	39	0.6968
11	10	πάθος	an	0	5	0.5257
11	10	δέ	which	1	0	0.4148
11	10	ἐστι	as	2	4	0.5017
11	10	πρᾶξις	action	3	6	0.6781
11	10	φθαρτικὴ	destructive	4	9	0.7847
11	10	ἢ	or	5	10	0.8232
11	10	ὀδυνηρά	painful	6	11	0.7594
11	10	οἷον	as	7	14	0.6751
11	10	ἐν	on	10	16	0.6291
11	10	τῷ	the	11	17	0.6228
11	10	φανερῷ	stage	12	18	0.6399
11	10	θάνατοι	murders	13	15	0.6436
11	10	καὶ	such	14	13	0.4719
11	10	περιωδυνίαι	tortures	16	19	0.6851
11	10	τρώσεις	woundings	18	20	0.685
11	10	καὶ	and	19	21	0.8356
11	10	ὅσα	the	20	22	0.6516
11	10	τοιαῦτα	like	21	23	0.6581
11	1	Ἔστι	is	0	2	0.6676
11	1	δὲ	A	1	0	0.4696
11	1	περιπέτεια	Peripety	2	1	0.7463
11	1	ἡ	the	4	3	0.7445
11	1	εἰς	to	5	13	0.622
11	1	τὸ	its	6	14	0.6996
11	1	ἐναντίον	opposite	7	15	0.7403
11	1	τῶν	the	8	17	0.5998
11	1	πραττομένων	play	9	12	0.5368
11	1	μεταβολὴ	change	10	4	0.729
11	1	καθάπερ	kind	11	18	0.4499
11	1	εἴρηται	described	12	19	0.6813
11	1	καὶ	and	13	20	0.7124
11	1	τοῦτο	that	14	21	0.702
11	1	δὲ	too	15	22	0.5558
11	1	ὥσπερ	way	16	25	0.5521
11	1	λέγομεν	saying	17	28	0.8185
11	1	κατὰ	in	18	29	0.5394
11	1	τὸ	the	19	30	0.5098
11	1	εἰκὸς	probable	20	31	0.5419
11	1	ἢ	or	21	32	0.7427
11	1	ἀναγκαῖον	necessary	22	33	0.7387
11	2	ὥσπερ	as	0	0	0.8429
11	2	ἐν	in	1	5	0.8245
11	2	Οἰδίποδι	Oedipus	3	6	0.8146
11	2	ἐλθὼν	coming	4	19	0.6319
11	2	ὡς	who	5	18	0.4476
11	2	εὐφρανῶν	gladden	6	21	0.6776
11	2	τὸν	the	7	16	0.4645
11	2	Οἰδίπουν	Oedipus	8	22	0.6983
11	2	καὶ	and	9	23	0.7553
11	2	ἀπαλλάξων	remove	10	25	0.7379
11	2	τοῦ	his	11	26	0.5778
11	2	πρὸς	to	12	29	0.6217
11	2	τὴν	his	13	30	0.7176
11	2	μητέρα	mother	14	31	0.7691
11	2	φόβου	fears	15	27	0.6982
11	2	δηλώσας	reveals	16	32	0.6752
11	2	ὃς	his	17	36	0.4213
11	2	ἦν	of	18	35	0.4667
11	2	τοὐναντίον	secret	19	34	0.5113
11	2	ἐποίησεν	produced	20	14	0.5133
11	3	καὶ	And	0	0	0.8142
11	3	ἐν	in	1	1	0.7441
11	3	Λυγκεῖ	Lynceus	3	2	0.7635
11	3	μὲν	just	5	3	0.429
11	3	ἀγόμενος	led	6	8	0.6442
11	3	ὡς	as	7	4	0.5658
11	3	ἀποθανούμενος	death	8	21	0.5598
11	3	Δαναὸς	Danaus	11	34	0.6067
11	3	ἀκολουθῶν	bring	12	26	0.5152
11	3	ὡς	that	13	29	0.5664
11	3	ἀποκτενῶν	is	14	31	0.4793
11	3	τὸν	it	15	27	0.4201
11	3	συνέβη	about	17	28	0.5405
11	3	ἐκ	preceding	18	24	0.4197
11	3	τῶν	the	19	22	0.4885
11	3	πεπραγμένων	this	20	25	0.5562
11	3	ἀποθανεῖν	saved	21	32	0.5781
11	3	δὲ	and	23	33	0.6934
11	3	σωθῆναι	put	24	35	0.5439
11	4	ἀναγνώρισις	Discovery	0	1	0.6808
11	4	δέ	A	1	0	0.4655
11	4	ὥσπερ	as	2	3	0.6768
11	4	καὶ	very	3	5	0.4896
11	4	τοὔνομα	word	4	6	0.6258
11	4	σημαίνει	implies	5	7	0.7751
11	4	ἐξ	from	6	10	0.7632
11	4	ἀγνοίας	ignorance	7	11	0.7379
11	4	εἰς	to	8	12	0.7732
11	4	γνῶσιν	knowledge	9	13	0.7087
11	4	μεταβολή	change	10	9	0.6859
11	4	ἢ	and	11	14	0.5779
11	4	εἰς	to	12	16	0.6251
11	4	φιλίαν	love	13	18	0.6273
11	4	ἢ	or	14	19	0.6399
11	4	ἔχθραν	hate	16	20	0.583
11	4	τῶν	the	17	22	0.52
11	4	πρὸς	for	18	25	0.6575
11	4	εὐτυχίαν	good	19	26	0.6247
11	4	ἢ	or	20	27	0.7764
11	4	δυστυχίαν	evil	21	28	0.7148
11	4	ὡρισμένων	marked	22	24	0.6572
11	5	καλλίστη	finest	0	1	0.7541
11	5	δὲ	The	1	0	0.4249
11	5	ἀναγνώρισις	form	2	2	0.4882
11	5	ὅταν	is	3	5	0.4371
11	5	περιπέτειαι	Peripeties	5	9	0.4867
11	5	γίνωνται	attended	8	7	0.4211
11	5	οἵαν	like	9	10	0.5857
11	5	ἔχει	goes	10	13	0.6592
11	5	ἡ	which	11	12	0.5673
11	5	ἐν	in	12	17	0.6663
11	5	τῷ	the	13	15	0.4083
11	5	Οἰδίποδι	Oedipus	14	18	0.7516
11	6	εἰσὶν	are	0	1	0.7348
11	6	μὲν	no	1	2	0.5206
11	6	οὖν	There	2	0	0.4598
11	6	καὶ	doubt	3	3	0.4166
11	6	ἄλλαι	other	4	4	0.8079
11	6	ἀναγνωρίσεις	forms	5	5	0.5387
11	6	καὶ	in	6	14	0.4059
11	6	γὰρ	may	7	12	0.446
11	6	πρὸς	to	8	19	0.5918
11	6	ἄψυχα	inanimate	9	20	0.6535
11	6	καὶ	even	10	22	0.6409
11	6	τὰ	things	11	23	0.5324
11	6	τυχόντα	casual	12	27	0.6252
11	6	ἔστιν	happen	13	13	0.4692
11	6	ὅπερ	what	15	8	0.4087
11	6	εἴρηται	said	16	11	0.5429
11	6	συμβαίνει	possible	17	33	0.6462
11	6	καὶ	also	18	32	0.5866
11	6	εἰ	whether	19	36	0.6129
11	6	πέπραγέ	has	20	39	0.6002
11	6	τις	some	21	37	0.7452
11	6	ἢ	or	22	41	0.7321
11	6	μὴ	not	23	42	0.7785
11	6	πέπραγεν	done	24	43	0.6641
11	6	ἔστιν	is	25	31	0.5424
11	6	ἀναγνωρίσαι	discover	26	35	0.6406
11	7	ἀλλ	But	0	0	0.8526
11	7	ἡ	the	1	1	0.7305
11	7	μάλιστα	most	2	3	0.7193
11	7	τοῦ	the	3	7	0.6115
11	7	μύθου	Plot	4	8	0.603
11	7	καὶ	and	5	9	0.6849
11	7	ἡ	the	6	10	0.6991
11	7	μάλιστα	directly	7	4	0.5275
11	7	τῆς	the	8	13	0.609
11	7	πράξεως	piece	9	14	0.5716
11	7	ἡ	the	10	16	0.6012
11	7	εἰρημένη	first-mentioned	11	17	0.6159
11	7	ἐστίν	is	12	15	0.6953
11	7	ἡ	This	13	18	0.4599
11	7	ἀναγνώρισις	arouse	16	23	0.4748
11	7	καὶ	with	17	19	0.4103
11	7	περιπέτεια	Peripety	18	21	0.5809
11	7	ἢ	either	19	24	0.5614
11	7	ἔλεον	pity	20	25	0.6436
11	7	ἕξει	will	21	22	0.5549
11	7	ἢ	or	22	26	0.7085
11	7	φόβον	fear—actions	23	27	0.672
11	7	οἵων	that	24	29	0.5399
11	7	πράξεων	of	25	28	0.4809
11	7	ἡ	to	26	36	0.4024
11	7	τραγῳδία	Tragedy	27	33	0.5228
11	7	μίμησις	represent	28	37	0.5552
11	7	ὑπόκειται	is	29	34	0.5767
11	7	ἔτι	what	30	32	0.4032
11	7	δὲ	and	31	38	0.6308
11	7	καὶ	also	32	41	0.66
11	7	τὸ	the	33	46	0.5877
11	7	ἀτυχεῖν	happy	34	47	0.5857
11	7	καὶ	or	35	48	0.5884
11	7	τὸ	ending	36	50	0.4748
11	7	εὐτυχεῖν	unhappy	37	49	0.6722
11	7	ἐπὶ	about	38	45	0.4537
11	7	συμβήσεται	serve	41	42	0.6158
11	8	ἐπεὶ	be	0	8	0.4169
11	8	δὴ	then	1	2	0.7593
11	8	ἡ	The	2	0	0.7207
11	8	ἀναγνώρισις	Discovery	3	1	0.6813
11	8	τινῶν	persons	4	5	0.6592
11	8	ἐστιν	being	5	3	0.6284
11	8	ἀναγνώρισις	that	6	9	0.487
11	8	αἱ	party	7	12	0.553
11	8	μὲν	of	8	10	0.6068
11	8	θατέρου	one	9	11	0.7114
11	8	πρὸς	to	10	14	0.7295
11	8	τὸν	the	11	15	0.7512
11	8	ἕτερον	other	12	16	0.7342
11	8	μόνον	only	13	13	0.7319
11	8	ὅταν	already	14	20	0.4793
11	8	δῆλος	known	15	21	0.5123
11	8	ἅτερος	the	16	17	0.4555
11	8	ἐστιν	being	18	19	0.5145
11	8	ὁτὲ	the	19	24	0.4573
11	8	δὲ	or	20	22	0.5864
11	8	ἀμφοτέρους	both	21	23	0.6218
11	8	δεῖ	have	22	27	0.6745
11	8	ἀναγνωρίσαι	discover	23	29	0.7335
11	8	οἷον	instance	24	33	0.6899
11	8	ἡ	was	25	34	0.418
11	8	μὲν	for	26	32	0.4768
11	8	Ἰφιγένεια	Iphigenia	27	31	0.6993
11	8	τῷ	to	28	36	0.5993
